Q_feed (m^3/hr),C_Li_feed (kg/m^3),C_Co_feed (kg/m^3),Q_diaf (m^3/hr),Q_Li_prdt (m^3/hr),Q_Co_prdt (m^3/hr),C_Co_Co_prdt (kg/m^3),C_Li_Co_prdt (kg/m^3),C_Li_Li_prdt (kg/m^3),C_Co_Li_prdt (kg/m^3)
90.0,1.7,17.0,27.0,86.27973989536305,36.04660612115503,38.56506680156959,0.6923874249983457,1.7396707162597889,3.0872498554298384
110.0,1.7,17.0,27.0,89.75893687478869,50.10217902280491,33.26394298298549,0.690903310114523,1.8473330975236253,2.9524972248435306
90.0,1.7,17.0,33.0,84.43540315586657,32.38299567568836,36.20973071352462,0.37256848406008947,1.379874286211458,2.5877389486826825
110.0,1.7,17.0,33.0,90.31374560571389,52.65271899457203,30.924600438076094,0.6286258133032278,1.7023119476394002,2.6690568980456355
